1着_人気,2着_人気,3着_人気,レース名,年,単勝_払戻,複勝_払戻1,複勝_払戻2,複勝_払戻3,馬連_払戻,ワイド1_払戻,ワイド2_払戻,ワイド3_払戻,馬単_払戻,3連複_払戻,3連単_払戻
2.0,1.0,10.0,osaka,2023,360,150,150,510,830,370.0,1760.0,1900.0,1580.0,8980.0,31240.0
8.0,3.0,7.0,osaka,2022,5870,1140,420,1240,10980,1990.0,7110.0,3160.0,39630.0,50990.0,537590.0
4.0,6.0,1.0,osaka,2021,1220,230,420,110,19080,2750.0,390.0,850.0,37610.0,7240.0,106210.0
2.0,4.0,1.0,osaka,2020,410,140,160,140,1110,370.0,340.0,390.0,1970.0,1350.0,7810.0
9.0,2.0,4.0,osaka,2019,2220,450,180,320,3680,1090.0,2880.0,880.0,10940.0,10740.0,93560.0
1.0,6.0,2.0,osaka,2018,350,150,310,140,2930,1020.0,300.0,640.0,3750.0,2780.0,17450.0
1.0,7.0,4.0,osaka,2017,240,110,280,280,2320,540.0,480.0,1800.0,3390.0,4830.0,23910.0
2.0,5.0,4.0,osaka,2016,390,160,190,190,1470,530.0,500.0,620.0,2510.0,2540.0,12810.0
4.0,1.0,6.0,osaka,2015,1200,220,110,250,840,370.0,1030.0,390.0,2940.0,1980.0,16620.0
1.0,2.0,5.0,osaka,2013,120,110,150,220,360,170.0,270.0,560.0,420.0,770.0,1670.0
6.0,1.0,2.0,osaka,2012,900,220,120,170,990,380.0,700.0,280.0,2660.0,1740.0,11540.0
1.0,8.0,3.0,osaka,2011,370,140,900,190,6910,1650.0,340.0,3060.0,11320.0,10390.0,74720.0
6.0,9.0,1.0,osaka,2010,2150,290,530,100,25640,3060.0,330.0,650.0,77450.0,5060.0,103370.0
3.0,1.0,4.0,osaka,2009,690,160,110,220,520,230.0,730.0,370.0,1600.0,1540.0,8640.0
1.0,7.0,4.0,osaka,2008,200,120,490,330,2750,820.0,540.0,3120.0,3310.0,7250.0,28050.0
1.0,2.0,8.0,osaka,2007,190,120,160,500,540,250.0,920.0,1720.0,810.0,4290.0,13080.0
3.0,6.0,5.0,osaka,2006,770,290,580,380,5860,1700.0,1910.0,3260.0,9660.0,27540.0,150590.0
1.0,4.0,6.0,osaka,2005,310,140,180,370,890,360.0,890.0,1040.0,1590.0,4310.0,16540.0
1.0,8.0,5.0,osaka,2004,180,120,520,210,4290,1110.0,380.0,2520.0,5760.0,6760.0,
3.0,1.0,2.0,osaka,2003,740,160,120,130,780,320.0,470.0,200.0,2440.0,940.0,
1.0,3.0,7.0,osaka,2002,290,130,180,500,780,380.0,1090.0,1810.0,,,
9.0,4.0,5.0,osaka,2001,7340,980,380,390,38890,5080.0,4250.0,1440.0,,,
1.0,3.0,2.0,osaka,2000,220,110,160,160,640,280.0,250.0,390.0,,,
1.0,2.0,3.0,osaka,1999,290,120,170,130,870,,,,,,
1.0,3.0,4.0,osaka,1998,120,110,160,200,380,,,,,,
1.0,4.0,2.0,osaka,1997,150,100,150,110,530,,,,,,
1.0,8.0,10.0,osaka,1996,190,120,410,490,1870,,,,,,
12.0,6.0,5.0,osaka,1995,14040,1580,590,290,62930,,,,,,
