1着_人気,2着_人気,3着_人気,レース名,年,単勝_払戻,複勝_払戻1,複勝_払戻2,複勝_払戻3,馬連_払戻,ワイド1_払戻,ワイド2_払戻,ワイド3_払戻,馬単_払戻,3連複_払戻,3連単_払戻
4.0,1.0,6.0,derby,2023,830,200,120,380,690,360.0,1970.0,820.0,2330.0,4700.0,29810.0
3.0,2.0,7.0,derby,2022,420,160,150,410,730,340.0,1120.0,1390.0,1440.0,4570.0,15770.0
4.0,1.0,9.0,derby,2021,1170,270,120,550,1010,450.0,3880.0,1030.0,3360.0,8800.0,58980.0
1.0,2.0,10.0,derby,2020,140,110,140,520,270,170.0,790.0,1830.0,350.0,2480.0,5140.0
12.0,3.0,2.0,derby,2019,9310,930,210,190,11200,1990.0,2280.0,380.0,47090.0,12050.0,199060.0
5.0,4.0,16.0,derby,2018,1250,410,390,3640,7950,2710.0,34420.0,30290.0,15520.0,521600.0,2856300.0
2.0,3.0,1.0,derby,2017,530,180,200,150,1620,650.0,470.0,490.0,2860.0,2220.0,11870.0
3.0,2.0,1.0,derby,2016,400,130,120,140,700,240.0,280.0,310.0,1420.0,850.0,4600.0
1.0,5.0,3.0,derby,2015,190,130,310,210,1980,730.0,400.0,1420.0,2220.0,3950.0,15760.0
3.0,1.0,12.0,derby,2014,560,200,140,1220,850,420.0,5210.0,3580.0,1860.0,27470.0,103300.0
1.0,3.0,8.0,derby,2013,290,160,240,960,970,460.0,2630.0,4470.0,1600.0,17130.0,54950.0
3.0,5.0,7.0,derby,2012,850,310,390,440,5680,1730.0,1450.0,2080.0,10180.0,14160.0,87380.0
1.0,10.0,8.0,derby,2011,300,150,660,450,3380,1290.0,990.0,5390.0,4540.0,22950.0,100300.0
7.0,5.0,1.0,derby,2010,3190,490,500,120,16720,4080.0,810.0,900.0,46210.0,10630.0,152910.0
2.0,5.0,8.0,derby,2009,770,390,430,620,3760,1650.0,4090.0,3350.0,7870.0,40320.0,201960.0
1.0,12.0,6.0,derby,2008,360,180,880,350,13270,3920.0,880.0,5680.0,17560.0,37690.0,201300.0
3.0,14.0,4.0,derby,2007,1050,420,2140,350,54470,12900.0,2000.0,15140.0,97890.0,248790.0,2155760.0
1.0,4.0,7.0,derby,2006,380,150,220,280,1120,400.0,680.0,1170.0,2110.0,3420.0,12650.0
1.0,2.0,7.0,derby,2005,110,110,210,360,540,270.0,550.0,1880.0,590.0,2410.0,4250.0
1.0,3.0,7.0,derby,2003,260,120,190,520,760,360.0,1220.0,2670.0,1210.0,5930.0,
1.0,3.0,6.0,derby,2002,260,130,180,310,870,400.0,760.0,1050.0,,,
1.0,3.0,11.0,derby,2001,230,120,170,910,560,280.0,2370.0,3170.0,,,
3.0,1.0,6.0,derby,2000,510,210,120,540,600,350.0,2230.0,1120.0,,,
2.0,1.0,3.0,derby,1999,390,140,130,140,820,,,,,,
1.0,14.0,15.0,derby,1998,200,130,1420,1680,13100,,,,,,
6.0,3.0,1.0,derby,1997,1360,390,210,130,4860,,,,,,
7.0,1.0,9.0,derby,1996,2760,660,150,730,3420,,,,,,
1.0,2.0,8.0,derby,1995,310,130,140,290,590,,,,,,
1.0,4.0,10.0,derby,1994,120,110,320,520,1020,,,,,,
4.0,3.0,1.0,yasuda,2023,740,220,210,160,1890,770.0,450.0,460.0,4240.0,2290.0,14510.0
4.0,2.0,8.0,yasuda,2022,820,260,210,520,1740,830.0,2770.0,1470.0,3740.0,11810.0,64140.0
8.0,1.0,4.0,yasuda,2021,4760,710,110,240,2950,1160.0,5460.0,400.0,12090.0,8860.0,110420.0
3.0,1.0,2.0,yasuda,2020,1200,180,110,130,650,260.0,590.0,170.0,2840.0,840.0,11240.0
4.0,3.0,1.0,yasuda,2019,1920,290,240,110,5670,1460.0,600.0,470.0,13660.0,3690.0,43720.0
9.0,5.0,1.0,yasuda,2018,1570,410,290,160,7370,2100.0,1020.0,680.0,15290.0,6560.0,63280.0
7.0,8.0,3.0,yasuda,2017,1240,380,440,340,10480,2870.0,2730.0,2720.0,20410.0,43500.0,283000.0
8.0,1.0,6.0,yasuda,2016,3690,520,130,450,3230,1130.0,4820.0,840.0,11580.0,14990.0,153560.0
1.0,3.0,12.0,yasuda,2015,370,210,240,740,1740,910.0,4590.0,4030.0,2680.0,40690.0,127190.0
1.0,16.0,10.0,yasuda,2014,170,110,2200,600,18730,5890.0,1070.0,25990.0,20330.0,91160.0,373470.0
1.0,3.0,12.0,yasuda,2013,400,200,210,680,1470,620.0,3230.0,3120.0,2570.0,18160.0,62800.0
2.0,13.0,15.0,yasuda,2012,670,250,730,870,8510,2670.0,3150.0,9700.0,13920.0,92530.0,468600.0
9.0,5.0,3.0,yasuda,2011,2930,710,420,340,12270,2980.0,3750.0,1580.0,25810.0,44090.0,335600.0
8.0,6.0,5.0,yasuda,2010,1390,470,490,360,12640,4270.0,2920.0,2670.0,26640.0,53850.0,348740.0
1.0,2.0,10.0,yasuda,2009,180,110,130,620,290,170.0,1300.0,1920.0,460.0,4100.0,10000.0
2.0,5.0,9.0,yasuda,2008,410,190,470,720,3680,1430.0,2040.0,4880.0,5970.0,31710.0,145690.0
2.0,3.0,9.0,yasuda,2007,440,190,320,600,2030,860.0,2300.0,2970.0,3620.0,16780.0,63140.0
3.0,10.0,8.0,yasuda,2006,640,250,760,660,12770,3650.0,1490.0,7320.0,19790.0,56730.0,288270.0
7.0,10.0,5.0,yasuda,2005,1230,420,640,390,13990,4270.0,2540.0,4540.0,24640.0,80600.0,465840.0
4.0,6.0,1.0,yasuda,2003,940,360,600,170,10890,3470.0,940.0,1900.0,22100.0,18210.0,
7.0,2.0,4.0,yasuda,2002,1580,490,210,290,5800,1980.0,2160.0,980.0,,,
9.0,15.0,7.0,yasuda,2001,2010,570,2510,600,120600,16800.0,3560.0,13050.0,,,
10.0,6.0,3.0,yasuda,2000,3990,830,320,370,14700,3780.0,4270.0,1790.0,,,
4.0,1.0,3.0,yasuda,1999,1770,190,110,190,650,,,,,,
1.0,8.0,17.0,yasuda,1998,130,110,610,1260,1860,,,,,,
1.0,5.0,3.0,yasuda,1997,230,120,260,230,1360,,,,,,
1.0,3.0,12.0,yasuda,1996,340,140,160,650,1060,,,,,,
4.0,1.0,6.0,yasuda,1995,1030,270,160,340,2410,,,,,,
5.0,10.0,4.0,yasuda,1994,700,260,1030,230,14210,,,,,,
1.0,10.0,2.0,takara,2023,130,110,560,170,2340,970.0,240.0,2930.0,2660.0,4030.0,13630.0
2.0,5.0,4.0,takara,2022,420,180,250,240,2060,780.0,710.0,840.0,3420.0,5150.0,25220.0
1.0,7.0,2.0,takara,2021,180,110,350,140,2780,920.0,200.0,1170.0,3930.0,2200.0,13340.0
2.0,6.0,12.0,takara,2020,410,180,370,1280,3410,790.0,3910.0,12070.0,5350.0,51240.0,183870.0
3.0,1.0,6.0,takara,2019,540,180,140,260,970,340.0,760.0,630.0,2210.0,2720.0,14560.0
7.0,10.0,12.0,takara,2018,1310,390,550,790,9200,3450.0,3540.0,7160.0,19630.0,93450.0,492560.0
3.0,5.0,4.0,takara,2017,900,480,550,450,5250,1500.0,1170.0,1060.0,10330.0,10670.0,70420.0
8.0,1.0,2.0,takara,2016,2510,350,110,150,2440,770.0,1150.0,250.0,8460.0,2800.0,26250.0
6.0,10.0,11.0,takara,2015,1420,470,640,1630,12900,3490.0,11080.0,10140.0,19250.0,157770.0,528510.0
1.0,9.0,8.0,takara,2014,270,170,810,820,8990,2130.0,2630.0,9110.0,10210.0,57870.0,251440.0
2.0,5.0,1.0,takara,2013,290,140,370,120,5150,850.0,210.0,860.0,6180.0,2910.0,23420.0
1.0,2.0,6.0,takara,2012,320,180,170,230,1010,520.0,990.0,650.0,1760.0,3230.0,11550.0
6.0,1.0,3.0,takara,2011,1360,240,120,160,1660,450.0,690.0,290.0,4740.0,2020.0,17480.0
8.0,1.0,3.0,takara,2010,3780,710,120,200,5150,1580.0,2870.0,330.0,16990.0,7920.0,77160.0
2.0,3.0,1.0,takara,2009,710,160,180,110,2630,560.0,210.0,230.0,5310.0,720.0,10630.0
5.0,1.0,11.0,takara,2008,1130,300,130,680,1080,470.0,3740.0,1420.0,3200.0,10660.0,55780.0
3.0,2.0,4.0,takara,2007,670,190,160,190,1460,520.0,510.0,460.0,3180.0,2720.0,15570.0
1.0,10.0,9.0,takara,2006,110,110,560,810,1920,910.0,1540.0,9740.0,2070.0,22370.0,43850.0
11.0,3.0,2.0,takara,2005,3850,680,400,160,11390,2920.0,1560.0,810.0,28280.0,16320.0,178840.0
6.0,8.0,4.0,takara,2003,1630,640,610,270,14080,3810.0,2020.0,1830.0,27990.0,30290.0,
1.0,4.0,3.0,takara,2002,240,130,240,290,1060,440.0,510.0,1100.0,,,
2.0,1.0,8.0,takara,2001,340,120,110,410,210,150.0,1020.0,940.0,,,
1.0,6.0,9.0,takara,2000,190,110,370,830,1190,570.0,1400.0,3550.0,,,
2.0,1.0,7.0,takara,1999,280,110,100,210,200,,,,,,
1.0,9.0,3.0,takara,1998,280,170,500,180,4590,,,,,,
1.0,3.0,4.0,takara,1997,230,120,170,260,440,,,,,,
1.0,4.0,3.0,takara,1996,200,120,210,160,890,,,,,,
2.0,5.0,6.0,takara,1995,510,210,230,280,1580,,,,,,
1.0,8.0,6.0,takara,1994,120,110,480,450,1200,,,,,,
3.0,6.0,1.0,sprinter,2023,490,180,320,140,3260,1120.0,340.0,700.0,5190.0,2310.0,17140.0
8.0,7.0,5.0,sprinter,2022,2030,470,510,560,15340,3100.0,3550.0,2960.0,36640.0,50590.0,468950.0
3.0,2.0,10.0,sprinter,2021,530,200,160,770,890,460.0,2760.0,2030.0,1910.0,9050.0,38610.0
1.0,3.0,10.0,sprinter,2020,220,140,180,680,530,310.0,2120.0,3150.0,790.0,10430.0,22540.0
2.0,3.0,1.0,sprinter,2019,290,130,180,120,1260,430.0,220.0,380.0,2040.0,1070.0,6080.0
1.0,11.0,13.0,sprinter,2018,280,150,510,1400,4140,1340.0,3740.0,13850.0,5260.0,65370.0,209620.0
1.0,5.0,7.0,sprinter,2017,320,140,300,350,1760,630.0,860.0,2100.0,2890.0,7650.0,31850.0
3.0,2.0,9.0,sprinter,2016,920,380,290,740,4490,1470.0,3470.0,3450.0,8240.0,42230.0,180060.0
1.0,11.0,9.0,sprinter,2015,440,180,610,490,5550,1650.0,1520.0,4280.0,9090.0,23020.0,106170.0
13.0,2.0,5.0,sprinter,2014,4650,650,170,380,7360,1790.0,4370.0,860.0,26040.0,19580.0,190930.0
1.0,2.0,15.0,sprinter,2013,130,110,180,1180,400,230.0,1780.0,8170.0,530.0,13070.0,28020.0
2.0,1.0,9.0,sprinter,2012,440,140,120,520,510,230.0,1600.0,1170.0,1170.0,4300.0,17540.0
3.0,9.0,7.0,sprinter,2011,1120,420,1050,610,13030,3330.0,1260.0,4690.0,30430.0,25610.0,212610.0
10.0,3.0,7.0,sprinter,2010,2930,900,240,450,9900,3600.0,6040.0,1500.0,22400.0,50860.0,358410.0
6.0,2.0,8.0,sprinter,2009,1380,430,150,470,2140,910.0,3020.0,1260.0,5630.0,11660.0,66890.0
1.0,2.0,6.0,sprinter,2008,240,130,160,250,790,310.0,460.0,730.0,1300.0,1680.0,5530.0
3.0,1.0,5.0,sprinter,2007,560,230,170,300,1180,530.0,1130.0,800.0,2490.0,3800.0,15960.0
1.0,10.0,16.0,sprinter,2006,420,180,570,3680,5920,1770.0,23110.0,26220.0,10590.0,569750.0,2637570.0
1.0,2.0,3.0,sprinter,2005,200,120,130,250,430,190.0,500.0,520.0,660.0,1180.0,3320.0
5.0,2.0,8.0,sprinter,2004,850,300,210,690,2400,1030.0,3000.0,2100.0,4010.0,22570.0,109810.0
1.0,3.0,2.0,sprinter,2002,220,110,130,140,590,240.0,230.0,320.0,960.0,810.0,
4.0,3.0,2.0,sprinter,2001,810,270,200,120,3000,1030.0,510.0,390.0,,,
16.0,1.0,2.0,sprinter,2000,25750,2190,120,130,25700,4620.0,7390.0,220.0,,,
2.0,1.0,4.0,sprinter,1999,380,130,120,200,630,280.0,450.0,480.0,,,
7.0,2.0,1.0,sprinter,1998,3760,350,220,110,15920,,,,,,
1.0,7.0,4.0,sprinter,1997,190,120,290,220,1130,,,,,,
1.0,3.0,6.0,sprinter,1996,230,130,220,230,750,,,,,,
1.0,2.0,3.0,sprinter,1995,230,120,130,210,510,,,,,,
1.0,5.0,13.0,sprinter,1994,160,120,310,1220,950,,,,,,
1.0,3.0,2.0,shuka,2023,110,100,230,170,560,310.0,240.0,1090.0,700.0,1210.0,3240.0
3.0,2.0,1.0,shuka,2022,570,150,140,130,990,360.0,320.0,300.0,2430.0,1090.0,6900.0
4.0,2.0,3.0,shuka,2021,890,260,190,240,2250,800.0,1030.0,710.0,4890.0,4190.0,26410.0
1.0,10.0,9.0,shuka,2020,140,110,540,590,2670,940.0,750.0,9310.0,3140.0,17920.0,44110.0
4.0,2.0,10.0,shuka,2019,690,240,190,550,2180,710.0,2120.0,2170.0,4950.0,15170.0,70970.0
1.0,5.0,3.0,shuka,2018,130,110,280,220,880,420.0,340.0,1500.0,1000.0,2360.0,5600.0
3.0,4.0,5.0,shuka,2017,630,220,190,270,1510,570.0,790.0,750.0,2900.0,3180.0,14760.0
3.0,4.0,8.0,shuka,2016,630,220,380,480,3550,1110.0,1790.0,2950.0,6170.0,20940.0,95520.0
1.0,5.0,8.0,shuka,2015,300,150,400,560,2790,1170.0,1560.0,4550.0,4100.0,22790.0,85610.0
3.0,1.0,4.0,shuka,2014,1010,200,110,270,630,290.0,1370.0,400.0,2050.0,1940.0,12790.0
3.0,2.0,15.0,shuka,2013,520,200,180,2260,950,500.0,9820.0,7480.0,2250.0,50030.0,233560.0
1.0,2.0,6.0,shuka,2012,130,110,130,410,250,150.0,590.0,1130.0,300.0,1990.0,3660.0
2.0,7.0,1.0,shuka,2011,310,130,360,110,3100,860.0,170.0,590.0,4250.0,1720.0,12680.0
1.0,6.0,2.0,shuka,2010,230,120,300,230,1420,570.0,400.0,1490.0,1990.0,3250.0,12550.0
11.0,8.0,16.0,shuka,2008,2990,930,610,6210,23080,6330.0,56110.0,28220.0,52130.0,1869680.0,10982020.0
2.0,7.0,1.0,shuka,2007,280,120,620,150,5880,1540.0,210.0,2140.0,7220.0,4640.0,37630.0
2.0,5.0,4.0,shuka,2006,360,190,370,340,2260,810.0,910.0,1570.0,3320.0,6550.0,25630.0
2.0,1.0,5.0,shuka,2005,250,100,100,340,180,130.0,700.0,710.0,400.0,1110.0,3580.0
2.0,5.0,10.0,shuka,2004,500,160,320,1280,2180,690.0,5010.0,8410.0,3850.0,56270.0,249510.0
1.0,3.0,7.0,shuka,2002,110,100,200,330,470,240.0,560.0,1480.0,500.0,2260.0,
1.0,2.0,3.0,shuka,2001,240,110,130,130,660,260.0,270.0,320.0,,,
10.0,7.0,5.0,shuka,2000,2710,920,710,410,30010,7100.0,4030.0,3340.0,,,
12.0,10.0,2.0,shuka,1999,5760,900,770,190,94630,,,,,,
2.0,14.0,1.0,shuka,1998,290,120,940,120,10460,,,,,,
1.0,2.0,9.0,shuka,1997,170,110,140,490,360,,,,,,
5.0,3.0,7.0,shuka,1996,1880,690,390,590,15500,,,,,,
4.0,2.0,1.0,kikka,2023,730,210,160,120,1980,660.0,400.0,260.0,4210.0,1570.0,12380.0
2.0,7.0,4.0,kikka,2022,410,160,290,330,2030,790.0,770.0,1920.0,3370.0,6440.0,30010.0
4.0,3.0,6.0,kikka,2021,800,290,210,480,2420,1050.0,2590.0,1410.0,5220.0,14610.0,79560.0
1.0,4.0,5.0,kikka,2020,110,110,350,360,910,530.0,550.0,2780.0,1010.0,3810.0,8740.0
3.0,8.0,1.0,kikka,2019,650,180,390,120,4680,1460.0,320.0,720.0,7640.0,3070.0,23510.0
7.0,2.0,10.0,kikka,2018,1450,450,160,600,2380,930.0,4610.0,1550.0,6010.0,16710.0,100590.0
1.0,10.0,13.0,kikka,2017,450,210,770,1110,10660,3730.0,4940.0,12360.0,15890.0,136350.0,559700.0
1.0,9.0,6.0,kikka,2016,230,130,500,430,3510,1080.0,950.0,5460.0,4720.0,17550.0,69380.0
5.0,2.0,1.0,kikka,2015,1340,370,170,160,3870,1300.0,1320.0,430.0,9960.0,4640.0,38880.0
3.0,4.0,7.0,kikka,2014,690,280,270,520,2640,950.0,1940.0,2160.0,4470.0,13340.0,59220.0
1.0,5.0,3.0,kikka,2013,160,110,290,310,950,470.0,560.0,1900.0,1170.0,3910.0,11750.0
1.0,5.0,7.0,kikka,2012,140,110,360,390,960,510.0,630.0,2660.0,1140.0,4830.0,12450.0
1.0,2.0,3.0,kikka,2011,140,110,140,230,330,170.0,320.0,740.0,400.0,1050.0,2190.0
7.0,1.0,13.0,kikka,2010,2320,470,130,1150,2170,850.0,9350.0,3140.0,7440.0,46410.0,338840.0
8.0,7.0,6.0,kikka,2009,1920,600,550,460,9410,2710.0,3920.0,2730.0,20140.0,46070.0,316950.0
1.0,15.0,9.0,kikka,2008,370,170,850,650,17820,4450.0,1920.0,8380.0,26980.0,92720.0,523990.0
4.0,6.0,1.0,kikka,2007,840,220,290,170,2930,960.0,550.0,810.0,6300.0,3630.0,27890.0
8.0,2.0,3.0,kikka,2006,4420,760,190,230,6480,1550.0,2410.0,540.0,24280.0,11700.0,144520.0
1.0,6.0,3.0,kikka,2005,100,100,400,190,1290,620.0,230.0,1720.0,1320.0,2730.0,7090.0
8.0,4.0,6.0,kikka,2004,4510,1010,240,410,11280,2670.0,3220.0,1170.0,36510.0,22360.0,128570.0
10.0,16.0,3.0,kikka,2002,3660,880,2250,330,96070,20170.0,3680.0,12170.0,182540.0,344630.0,
6.0,11.0,3.0,kikka,2001,1710,440,1770,230,46210,6690.0,1220.0,4910.0,,,
2.0,3.0,6.0,kikka,2000,280,150,280,490,1580,550.0,1100.0,1930.0,,,
3.0,2.0,4.0,kikka,1999,410,160,140,460,780,,,,,,
2.0,1.0,5.0,kikka,1998,430,160,110,390,510,,,,,,
3.0,7.0,2.0,kikka,1997,500,220,430,150,3970,,,,,,
1.0,6.0,2.0,kikka,1996,260,130,290,200,1760,,,,,,
3.0,9.0,7.0,kikka,1995,650,240,590,470,6330,,,,,,
1.0,2.0,3.0,kikka,1994,170,110,160,140,520,,,,,,
1.0,6.0,3.0,akiten,2023,130,110,340,200,1330,550.0,280.0,1650.0,1500.0,2180.0,6960.0
1.0,7.0,4.0,akiten,2022,260,130,470,220,3330,1210.0,320.0,2260.0,4930.0,4400.0,23370.0
3.0,1.0,2.0,akiten,2021,340,120,110,110,390,170.0,200.0,170.0,850.0,350.0,2040.0
1.0,5.0,2.0,akiten,2020,140,110,260,140,970,420.0,180.0,670.0,1180.0,960.0,4130.0
1.0,3.0,6.0,akiten,2019,160,110,260,270,920,400.0,400.0,1740.0,1170.0,3210.0,8860.0
2.0,4.0,6.0,akiten,2018,310,150,310,300,1520,640.0,690.0,1630.0,2370.0,6420.0,24230.0
1.0,2.0,13.0,akiten,2017,310,160,170,600,900,410.0,2950.0,2060.0,1660.0,15290.0,55320.0
1.0,7.0,6.0,akiten,2016,360,150,350,240,2420,900.0,630.0,1760.0,3700.0,7430.0,32400.0
1.0,10.0,6.0,akiten,2015,340,160,590,300,7340,2320.0,820.0,4620.0,10390.0,24850.0,109310.0
5.0,2.0,1.0,akiten,2014,1100,260,180,130,3140,980.0,580.0,340.0,6780.0,2850.0,23290.0
5.0,1.0,3.0,akiten,2013,1550,240,110,150,1190,410.0,590.0,210.0,4510.0,1400.0,14310.0
5.0,1.0,2.0,akiten,2012,1660,370,140,190,3250,1190.0,1350.0,380.0,8980.0,3990.0,39520.0
7.0,2.0,6.0,akiten,2011,3330,850,260,350,7020,2520.0,3950.0,1090.0,23560.0,22790.0,214010.0
1.0,4.0,2.0,akiten,2010,220,110,240,150,1030,430.0,210.0,910.0,1660.0,1680.0,7480.0
5.0,7.0,1.0,akiten,2009,1150,250,700,120,16490,3830.0,370.0,1340.0,29270.0,9970.0,102110.0
1.0,2.0,3.0,akiten,2008,270,120,130,150,550,220.0,280.0,360.0,1050.0,710.0,3250.0
1.0,7.0,6.0,akiten,2007,290,150,780,690,4970,1690.0,1610.0,7240.0,6730.0,36730.0,183380.0
4.0,7.0,2.0,akiten,2006,700,240,430,240,4780,1640.0,860.0,1650.0,8690.0,9120.0,60460.0
14.0,1.0,13.0,akiten,2005,7580,1350,130,970,12340,3550.0,14660.0,2290.0,47290.0,141100.0,1226130.0
1.0,13.0,9.0,akiten,2004,340,140,1030,560,8210,2360.0,1370.0,5070.0,12240.0,34230.0,207930.0
3.0,2.0,4.0,akiten,2002,650,200,190,200,1720,700.0,1040.0,910.0,4020.0,5640.0,
4.0,1.0,2.0,akiten,2001,2000,390,120,130,2790,850.0,890.0,180.0,,,
1.0,2.0,5.0,akiten,2000,240,130,150,280,490,260.0,740.0,820.0,,,
4.0,12.0,5.0,akiten,1999,680,340,670,340,15770,,,,,,
6.0,4.0,5.0,akiten,1998,4240,580,300,450,12210,,,,,,
2.0,1.0,3.0,akiten,1997,400,130,100,180,290,,,,,,
3.0,4.0,1.0,akiten,1996,740,200,210,130,2500,,,,,,
2.0,4.0,9.0,akiten,1995,530,190,210,520,1590,,,,,,
3.0,8.0,11.0,akiten,1994,860,300,690,940,8860,,,,,,
1.0,5.0,3.0,eliza,2023,240,130,290,180,1580,630.0,380.0,1160.0,2210.0,2910.0,9780.0
10.0,7.0,9.0,eliza,2021,6490,1180,650,810,51870,9600.0,15440.0,7450.0,137500.0,282710.0,3393960.0
1.0,5.0,3.0,eliza,2020,330,150,280,200,2290,930.0,490.0,1460.0,3610.0,4260.0,21050.0
3.0,7.0,1.0,eliza,2019,540,190,330,140,3380,970.0,430.0,940.0,5440.0,4060.0,26480.0
3.0,9.0,1.0,eliza,2018,470,170,570,150,9800,2630.0,360.0,1590.0,12450.0,8660.0,56370.0
5.0,9.0,3.0,eliza,2017,770,260,630,240,8030,2160.0,870.0,2930.0,15890.0,20760.0,127540.0
3.0,12.0,2.0,eliza,2016,610,230,1200,150,13710,3670.0,520.0,4640.0,22570.0,20680.0,158930.0
6.0,1.0,4.0,eliza,2015,1520,320,130,210,1860,680.0,1340.0,440.0,4730.0,3770.0,23590.0
3.0,1.0,6.0,eliza,2014,680,190,140,320,970,390.0,1240.0,770.0,2140.0,3030.0,15570.0
2.0,6.0,5.0,eliza,2013,390,200,530,470,2780,1330.0,1430.0,3940.0,4480.0,14440.0,64840.0
7.0,1.0,5.0,eliza,2012,2300,380,120,360,1790,670.0,2780.0,530.0,6630.0,6110.0,50810.0
1.0,2.0,4.0,eliza,2011,270,140,150,280,700,280.0,800.0,810.0,1160.0,2520.0,9430.0
4.0,2.0,1.0,eliza,2010,850,220,120,120,1430,540.0,500.0,210.0,3590.0,1320.0,10170.0
11.0,12.0,1.0,eliza,2009,7710,1410,2150,110,102030,23310.0,2730.0,4910.0,250910.0,157480.0,1545760.0
4.0,1.0,2.0,eliza,2008,1320,250,110,170,1010,410.0,1030.0,210.0,3450.0,1660.0,12690.0
1.0,3.0,2.0,eliza,2007,190,110,210,210,850,340.0,350.0,790.0,1160.0,1610.0,6290.0
2.0,5.0,4.0,eliza,2005,280,150,380,360,1650,670.0,570.0,1480.0,2420.0,4180.0,17500.0
2.0,5.0,4.0,eliza,2004,330,160,460,250,3270,1210.0,610.0,1620.0,5540.0,8420.0,53750.0
2.0,1.0,10.0,eliza,2003,360,140,140,910,530,280.0,2990.0,2830.0,1070.0,9570.0,
1.0,2.0,4.0,eliza,2002,120,100,140,150,360,190.0,220.0,430.0,410.0,650.0,
4.0,2.0,5.0,eliza,2001,590,240,190,280,2050,830.0,1070.0,940.0,,,
3.0,1.0,10.0,eliza,2000,640,250,130,640,1110,540.0,3570.0,1590.0,,,
2.0,7.0,5.0,eliza,1999,390,170,570,430,5270,,,,,,
2.0,5.0,1.0,eliza,1998,460,130,260,100,3890,,,,,,
3.0,1.0,8.0,eliza,1997,880,200,110,420,600,,,,,,
1.0,3.0,11.0,eliza,1996,240,130,210,1150,960,,,,,,
10.0,5.0,2.0,eliza,1995,2650,820,300,240,10600,,,,,,
1.0,2.0,4.0,eliza,1994,180,110,160,190,650,,,,,,
5.0,3.0,7.0,milec,2023,1730,510,250,590,4440,1820.0,5140.0,1780.0,10490.0,30930.0,176490.0
6.0,8.0,2.0,milec,2022,920,330,520,220,11870,2980.0,1170.0,2240.0,19920.0,20530.0,142650.0
1.0,2.0,5.0,milec,2021,170,110,140,300,370,190.0,630.0,970.0,540.0,1960.0,5460.0
1.0,3.0,5.0,milec,2020,160,110,190,200,620,280.0,320.0,830.0,790.0,1610.0,4480.0
3.0,1.0,6.0,milec,2019,640,190,130,290,840,370.0,1090.0,570.0,2040.0,3200.0,16580.0
5.0,3.0,4.0,milec,2018,870,310,230,240,3220,1140.0,1130.0,670.0,6350.0,5480.0,29790.0
4.0,2.0,7.0,milec,2017,880,290,180,430,2480,1000.0,2100.0,1240.0,5520.0,9300.0,55890.0
3.0,2.0,7.0,milec,2016,590,230,180,440,1590,600.0,2100.0,1220.0,3390.0,8360.0,40290.0
4.0,2.0,1.0,milec,2015,570,210,150,130,1780,690.0,590.0,300.0,3400.0,2000.0,12000.0
8.0,3.0,9.0,milec,2014,1810,390,200,600,3890,1160.0,4320.0,1990.0,11460.0,25760.0,193290.0
2.0,3.0,1.0,milec,2013,470,180,210,140,1930,800.0,390.0,450.0,3250.0,2090.0,12450.0
4.0,1.0,5.0,milec,2012,1050,370,180,330,2520,1190.0,2750.0,890.0,5560.0,9230.0,58050.0
5.0,11.0,4.0,milec,2011,980,310,880,270,12800,3440.0,1190.0,4180.0,24580.0,38920.0,279410.0
13.0,1.0,6.0,milec,2010,5240,1070,160,380,14240,3740.0,10900.0,920.0,40970.0,53970.0,473970.0
1.0,14.0,2.0,milec,2009,230,120,690,290,6690,1960.0,550.0,5890.0,9640.0,20730.0,106680.0
4.0,1.0,10.0,milec,2008,1060,270,120,600,990,410.0,4020.0,1420.0,2730.0,11700.0,53980.0
1.0,4.0,5.0,milec,2007,380,170,240,290,1870,810.0,810.0,1370.0,3120.0,5000.0,24050.0
1.0,3.0,8.0,milec,2006,230,120,180,500,650,280.0,1000.0,2630.0,940.0,5440.0,15350.0
3.0,4.0,2.0,milec,2005,1180,310,360,230,3580,1150.0,940.0,1170.0,8040.0,7960.0,63020.0
1.0,4.0,5.0,milec,2004,270,130,200,290,1050,470.0,610.0,1340.0,1590.0,3330.0,13280.0
11.0,3.0,15.0,milec,2002,2380,710,380,2090,15530,4650.0,16560.0,11040.0,36370.0,379390.0,
4.0,2.0,10.0,milec,2001,780,310,240,780,2610,1110.0,3720.0,2600.0,,,
13.0,1.0,12.0,milec,2000,5570,1140,220,1120,18050,3880.0,19040.0,4180.0,,,
1.0,4.0,2.0,milec,1999,220,110,230,130,1110,,,,,,
1.0,6.0,9.0,milec,1998,130,110,380,440,1290,,,,,,
2.0,5.0,3.0,milec,1997,380,160,400,200,2760,,,,,,
1.0,8.0,15.0,milec,1996,490,220,490,2260,2980,,,,,,
4.0,16.0,2.0,milec,1995,850,290,2120,170,104390,,,,,,
1.0,2.0,3.0,milec,1994,170,100,120,170,260,,,,,,
1.0,2.0,5.0,japanc,2023,130,110,110,210,180,130.0,310.0,440.0,260.0,600.0,1130.0
3.0,1.0,4.0,japanc,2022,450,160,140,240,940,380.0,560.0,530.0,1920.0,2360.0,9850.0
1.0,3.0,2.0,japanc,2021,160,110,140,120,530,210.0,150.0,330.0,670.0,510.0,1780.0
1.0,2.0,3.0,japanc,2020,220,110,110,120,330,170.0,190.0,220.0,610.0,300.0,1340.0
3.0,5.0,2.0,japanc,2019,510,180,280,170,2900,880.0,490.0,700.0,4810.0,2900.0,19850.0
